
---------- Begin Simulation Statistics ----------
final_tick                                24180119500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 141472                       # Simulator instruction rate (inst/s)
host_mem_usage                                 662016                       # Number of bytes of host memory used
host_op_rate                                   150427                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   309.70                       # Real time elapsed on the host
host_tick_rate                               78076976                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    43813401                       # Number of instructions simulated
sim_ops                                      46586754                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.024180                       # Number of seconds simulated
sim_ticks                                 24180119500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 230668773                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 33428902                       # number of cc regfile writes
system.cpu.committedInsts                    43813401                       # Number of Instructions Simulated
system.cpu.committedOps                      46586754                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.103777                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.103777                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           55828                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2089054                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 13452370                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.351265                       # Inst execution rate
system.cpu.iew.exec_refs                     25118991                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   11782442                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 4370604                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              17701170                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts             111607                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            705101                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             14896037                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            81286356                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              13336549                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2977496                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              65347481                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    548                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                   482                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1970403                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  1143                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1143                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1544681                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         544373                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  48429461                       # num instructions consuming a value
system.cpu.iew.wb_count                      62830278                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.617617                       # average fanout of values written-back
system.cpu.iew.wb_producers                  29910842                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.299214                       # insts written-back per cycle
system.cpu.iew.wb_sent                       63579559                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 67752249                       # number of integer regfile reads
system.cpu.int_regfile_writes                29460783                       # number of integer regfile writes
system.cpu.ipc                               0.905980                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.905980                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              3348      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              41122093     60.19%     60.19% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                19844      0.03%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     60.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     60.22% # Type of FU issued
