
---------- Begin Simulation Statistics ----------
final_tick                                11192628500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 100711                       # Simulator instruction rate (inst/s)
host_mem_usage                                 664316                       # Number of bytes of host memory used
host_op_rate                                   125235                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   153.20                       # Real time elapsed on the host
host_tick_rate                               73059880                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    15428712                       # Number of instructions simulated
sim_ops                                      19185756                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.011193                       # Number of seconds simulated
sim_ticks                                 11192628500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 101972446                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 12465235                       # number of cc regfile writes
system.cpu.committedInsts                    15428712                       # Number of Instructions Simulated
system.cpu.committedOps                      19185756                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.450883                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.450883                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           53763                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1095833                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  5364700                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.277680                       # Inst execution rate
system.cpu.iew.exec_refs                     10267276                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    3715875                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 2192749                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               8556765                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              81446                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            424588                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5420742                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            39171638                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               6551401                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1760743                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              28601201                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  17071                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                126165                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 892896                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                143074                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            182                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       738857                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         356976                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  26767191                       # num instructions consuming a value
system.cpu.iew.wb_count                      27382447                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.503965                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13489735                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.223236                       # insts written-back per cycle
system.cpu.iew.wb_sent                       27774801                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 29661447                       # number of integer regfile reads
system.cpu.int_regfile_writes                16697442                       # number of integer regfile writes
system.cpu.ipc                               0.689235                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.689235                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                40      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              19120226     62.97%     62.97% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                39685      0.13%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     63.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     63.11% # Type of FU issued
