
---------- Begin Simulation Statistics ----------
final_tick                               127963093500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  85256                       # Simulator instruction rate (inst/s)
host_mem_usage                                 658620                       # Number of bytes of host memory used
host_op_rate                                    96268                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  3291.02                       # Real time elapsed on the host
host_tick_rate                               38882507                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   280579389                       # Number of instructions simulated
sim_ops                                     316819327                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.127963                       # Number of seconds simulated
sim_ticks                                127963093500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                1137782402                       # number of cc regfile reads
system.cpu.cc_regfile_writes                233694591                       # number of cc regfile writes
system.cpu.committedInsts                   280579389                       # Number of Instructions Simulated
system.cpu.committedOps                     316819327                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.912135                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.912135                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                        63430850                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3316932                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 50402894                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.374937                       # Inst execution rate
system.cpu.iew.exec_refs                     54571678                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   24460557                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                13902878                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              31428857                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts             175241                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            823514                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             27737303                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           414862572                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              30111121                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2903819                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             351882322                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  79800                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 29385                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                2891138                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                117165                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           6005                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1597090                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1719842                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 637786395                       # num instructions consuming a value
system.cpu.iew.wb_count                     348112745                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.380890                       # average fanout of values written-back
system.cpu.iew.wb_producers                 242926669                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.360208                       # insts written-back per cycle
system.cpu.iew.wb_sent                      348736788                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                450196624                       # number of integer regfile reads
system.cpu.int_regfile_writes               264462498                       # number of integer regfile writes
system.cpu.ipc                               1.096329                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.096329                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass             21870      0.01%      0.01% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             294531344     83.02%     83.02% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              4157289      1.17%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     84.19% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc         146358      0.04%     84.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     84.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     84.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     84.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     84.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     84.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     84.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     84.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     84.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     84.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     84.24% # Type of FU issued
