
---------- Begin Simulation Statistics ----------
final_tick                               114900501500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 124961                       # Simulator instruction rate (inst/s)
host_mem_usage                                 661436                       # Number of bytes of host memory used
host_op_rate                                   141102                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2245.33                       # Real time elapsed on the host
host_tick_rate                               51173162                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   280579389                       # Number of instructions simulated
sim_ops                                     316819327                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.114901                       # Number of seconds simulated
sim_ticks                                114900501500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                1138313222                       # number of cc regfile reads
system.cpu.cc_regfile_writes                233717832                       # number of cc regfile writes
system.cpu.committedInsts                   280579389                       # Number of Instructions Simulated
system.cpu.committedOps                     316819327                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.819023                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.819023                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                        41861309                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3301288                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 50426609                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.531903                       # Inst execution rate
system.cpu.iew.exec_refs                     54643020                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   24494749                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                11712176                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              31478443                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts             175239                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            823530                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             27823273                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           415505643                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              30148271                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2925708                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             352032828                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  53599                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 13453                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                2875153                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 72464                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           6103                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1581278                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1720010                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 638959789                       # num instructions consuming a value
system.cpu.iew.wb_count                     348246157                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.380752                       # average fanout of values written-back
system.cpu.iew.wb_producers                 243285374                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.515425                       # insts written-back per cycle
system.cpu.iew.wb_sent                      348861385                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                450365904                       # number of integer regfile reads
system.cpu.int_regfile_writes               264571151                       # number of integer regfile writes
system.cpu.ipc                               1.220967                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.220967                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              6360      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             294630673     83.00%     83.01% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              4161920      1.17%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     84.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc         146358      0.04%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     84.22% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead             30909607      8.71%     92.93% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite            25103618      7.07%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              354958536                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                       0                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                   0                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses            0                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes                  0                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                     4085408                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.011510                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 2801422     68.57%     68.57% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     68.57% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     68.57% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     68.57% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     68.57% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     68.57% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     68.57% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     68.57% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     68.57% # attempts to use FU when none available
