
---------- Begin Simulation Statistics ----------
final_tick                                16177572500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 117699                       # Simulator instruction rate (inst/s)
host_mem_usage                                 655356                       # Number of bytes of host memory used
host_op_rate                                   125149                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   372.25                       # Real time elapsed on the host
host_tick_rate                               43458786                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    43813360                       # Number of instructions simulated
sim_ops                                      46586703                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.016178                       # Number of seconds simulated
sim_ticks                                 16177572500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 170908684                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 30750169                       # number of cc regfile writes
system.cpu.committedInsts                    43813360                       # Number of Instructions Simulated
system.cpu.committedOps                      46586703                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.738477                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.738477                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                         1492071                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               217779                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 10781926                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.472500                       # Inst execution rate
system.cpu.iew.exec_refs                     14553686                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    5115634                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 5125708                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              10021191                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              96068                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            436364                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5312375                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            49937074                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               9438052                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            179772                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              47642953                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  32975                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                137095                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 190494                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                200092                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            688                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        26564                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         191215                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  43102104                       # num instructions consuming a value
system.cpu.iew.wb_count                      47479962                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.622402                       # average fanout of values written-back
system.cpu.iew.wb_producers                  26826815                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.467462                       # insts written-back per cycle
system.cpu.iew.wb_sent                       47537898                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 48552125                       # number of integer regfile reads
system.cpu.int_regfile_writes                22137332                       # number of integer regfile writes
system.cpu.ipc                               1.354139                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.354139                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                65      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              33182601     69.39%     69.39% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                19543      0.04%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     69.43% # Type of FU issued
