
---------- Begin Simulation Statistics ----------
final_tick                                14422014000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 115815                       # Simulator instruction rate (inst/s)
host_mem_usage                                 659192                       # Number of bytes of host memory used
host_op_rate                                   123146                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   378.30                       # Real time elapsed on the host
host_tick_rate                               38122752                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    43813360                       # Number of instructions simulated
sim_ops                                      46586703                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.014422                       # Number of seconds simulated
sim_ticks                                 14422014000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 170740201                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 30719581                       # number of cc regfile writes
system.cpu.committedInsts                    43813360                       # Number of Instructions Simulated
system.cpu.committedOps                      46586703                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.658339                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.658339                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                         1448252                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               217718                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 10774170                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.650210                       # Inst execution rate
system.cpu.iew.exec_refs                     14540627                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    5110603                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 2162743                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              10005185                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              96058                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            436436                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5302763                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            49852845                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               9430024                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            174332                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              47598698                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   7015                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 28816                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 190419                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 40872                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            625                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        26556                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         191162                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  42918004                       # num instructions consuming a value
system.cpu.iew.wb_count                      47436777                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.622737                       # average fanout of values written-back
system.cpu.iew.wb_producers                  26726649                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.644596                       # insts written-back per cycle
system.cpu.iew.wb_sent                       47489680                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 48502610                       # number of integer regfile reads
system.cpu.int_regfile_writes                22112065                       # number of integer regfile writes
system.cpu.ipc                               1.518975                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.518975                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                30      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              33150123     69.39%     69.39% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                19543      0.04%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     69.43% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              9481364     19.85%     89.28% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             5121970     10.72%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               47773030                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                       0                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                   0                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses            0                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes                  0                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      232959                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.004876                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                   14484      6.22%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                      0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                      0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                     0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%      6.22% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                  77629     33.32%     39.54% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                140846     60.46%    100.00% # attempts to use FU when none available
