
---------- Begin Simulation Statistics ----------
final_tick                                   19602000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  14045                       # Simulator instruction rate (inst/s)
host_mem_usage                                 657144                       # Number of bytes of host memory used
host_op_rate                                    16476                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     0.33                       # Real time elapsed on the host
host_tick_rate                               59898331                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                        4592                       # Number of instructions simulated
sim_ops                                          5391                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000020                       # Number of seconds simulated
sim_ticks                                    19602000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     28072                       # number of cc regfile reads
system.cpu.cc_regfile_writes                     3315                       # number of cc regfile writes
system.cpu.committedInsts                        4592                       # Number of Instructions Simulated
system.cpu.committedOps                          5391                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               8.537674                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         8.537674                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           25192                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  381                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     1420                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.203877                       # Inst execution rate
system.cpu.iew.exec_refs                         3055                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       1273                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    1089                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                  2273                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 36                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                39                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 1582                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts               10523                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                  1782                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               421                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                  7993                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      8                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                    50                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    371                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                    58                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             13                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          307                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             74                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                      6944                       # num instructions consuming a value
system.cpu.iew.wb_count                          7552                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.518289                       # average fanout of values written-back
system.cpu.iew.wb_producers                      3599                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.192628                       # insts written-back per cycle
system.cpu.iew.wb_sent                           7675                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                     8205                       # number of integer regfile reads
system.cpu.int_regfile_writes                    4320                       # number of integer regfile writes
system.cpu.ipc                               0.117128                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.117128                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                14      0.17%      0.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                  5110     60.73%     60.90% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    7      0.08%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     60.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     60.98% # Type of FU issued
